title,img,英文名称,批准文号,主要规格,用途,产品说明
妇康宝颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字Z20080608,10个/袋,补血调经，止血安胎。用于失血过多，面色萎黄，月经不调，小腹冷痛，胎漏胎动，痔漏下血。,补血调经，止血安胎。用于失血过多，面色萎黄，月经不调，小腹冷痛，胎漏胎动，痔漏下血。
前列康舒胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/204598_1.jpg,,国药准字B20020078,15粒*3板*300盒,解毒活血，补气益肾。用于肾虚湿热，瘀阻型慢性前列腺炎的治疗，可改善尿频、尿急、尿痛，腰膝酸软，睾丸隐痛等症状。,
妇洁舒洗液,http://img1.pharmnet.com.cn/suppliers/product_cn/1724284_1.jpg,,国药准字B20050058,120*90,"清热燥湿,杀虫止痒.用于湿热下注,带下黄稠,阴肿阴痒.外阴炎,非特异性滴虫性,淋菌性及毒菌性阴道炎见上述征候者.","一次3ml,一日2次"
复方氨基酸注射液(6AA),http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Compound Amino Acid Injection(6AA),国药准字H37023752,250ml:21.1g(总氨基酸)  注射剂,,
西咪替丁片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43020305,0.2g/片,用于缓解胃酸过多引起的胃痛、胃灼热感（烧心）、返酸,用于缓解胃酸过多引起的胃痛、胃灼热感（烧心）、返酸
盐酸小檗碱片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43020311,0.1g/片,用于肠道感染，如胃肠炎。,用于肠道感染，如胃肠炎。
地塞米松,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Dexamethasone,国药准字H20053754,"1kg/听，2kg/听,5/听",肾上腺皮质激素原料药,质量标准中国药典2015版【性状】本品为白色或类白色的结晶性粉末;无臭。【鉴别】呈正性反应【熔点】255~264°C，熔融时同时分解。【比旋度】+72°至+80°【吸收系数】380～410【有关物质】最大杂质≤1.0%，杂质总量≤2.0%【干燥失重】≤0.5%【炽灼残渣】≤0.2%【微生物限度】需氧菌总数≤103cfu/g；霉菌及酵母菌≤102cfu/g；未检出大肠埃希菌。【含量】以干品计算含C22H29FO5应为97.0%~102.0%。【贮藏】遮光，密封保存。【化学结构式】
地塞米松磷酸钠,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Dexamethasone sodium phosphate,国药准字H20053753,"1kg/听，2kg/听,5/听",肾上腺皮质激素原料药,质量标准中国药典2015版【性状】本品为白色至微黄色粉末；无臭，味微苦；有引湿性。【鉴别】呈正性反应【比旋度】】+72º~+80º。【碱度】PH值应为7.5～10.5。【游离磷酸盐】不得大于对照液的吸光度。【澄清度与颜色】溶液应澄清无色。如浑浊，不得比标准液更浓；如显色，不得比标准比色液更深。【有关物质】地塞米松≤0.5％，其他单个杂质≤0.5％，其他杂质总量≤2.0％。【干燥失重】≤16.0％【残留溶媒】丙酮≤0.5％，甲醇≤0.3％。【炽灼残渣】≤0.1%【微生物限度】需氧菌总数≤103cfu/g；霉菌及酵母菌≤102cfu/g；未检出大肠埃希菌。【含量】以干品计算含C22H28FNa2O8P应为96.0~102.0%。【贮藏】遮光，密封，在干燥处保存。【化学结构式】
醋酸地塞米松,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Dexamethasone acetate,国药准字H20053752,"1kg/听，2kg/听,5/听",肾上腺皮质激素原料药,质量标准中国药典2015版【性状】本品为白色或类白色结晶或结晶性粉末；无臭，味微苦。【鉴别】呈正性反应【熔点】223℃~233℃，熔融时同时分解。【比旋度】+82º~+88º【吸收系数】343~371。【有关物质】最大杂质≤0.5％，杂质总量≤1.0%。【干燥失重】≤0.5%【炽灼残渣】≤0.1%【微生物限度】需氧菌总数≤103cfu/g；霉菌及酵母菌≤102cfu/g；未检出大肠埃希菌。【含量】以干品计算含C24H31FO6应为97.0%~102.0%。【贮藏】遮光，密封保存。【化学结构式】
倍他米松,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Betamethasone,国药准字H20055125,"1kg/听，2kg/听,5/听",肾上腺皮质激素原料药,质量标准中国药典2015版【性状】本品为白色或类白色的结晶性粉末;无臭。【鉴别】呈正性反应【熔点】236℃~244℃，熔融时同时分解。【比旋度】+115º~+121º。°【吸收系数】382~406。【有关物质】最大杂质≤1.0％，其他单个杂质≤0.5％，杂质总量≤2.0％。【干燥失重】≤0.5%。【炽灼残渣】≤0.1%。【微生物限度】需氧菌总数≤103cfu/g；霉菌及酵母菌≤102cfu/g；未检出大肠埃希菌。【含量】以干品计算含C22H29FO5应为97.0%~103.0%。【贮藏】遮光，密封保存。【化学结构式】
消癌平分散片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字Z20090584,0.45g/片,"抗癌，消炎,平喘。用于食道癌、胃癌、肺癌,对大肠癌、宫颈癌、白血病等多种恶性肿瘤,亦有一定疗效,亦可配合放疗、化疗及手术后治疗。并用于治疗慢性气管炎和支气管哮喘。","抗癌，消炎,平喘。用于食道癌、胃癌、肺癌,对大肠癌、宫颈癌、白血病等多种恶性肿瘤,亦有一定疗效,亦可配合放疗、化疗及手术后治疗。并用于治疗慢性气管炎和支气管哮喘。"
