entity1,entity2,relation
艾滋病人的急性阑尾炎,肿节风软胶囊,相关药品
化脓性乳腺炎,头孢氨苄胶囊,相关药品
化脓性乳腺炎,盐酸左氧氟沙星胶囊,相关药品
化脓性乳腺炎,炎立消胶囊,相关药品
化脓性乳腺炎,蒲公英颗粒,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸左氧氟沙星胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,乳酸左氧氟沙星片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,阿莫西林克拉维酸钾,相关药品
埃布斯坦综合征,依托红霉素片,相关药品
埃布斯坦综合征,依托红霉素颗粒,相关药品
埃布斯坦综合征,琥乙红霉素颗粒,相关药品
埃布斯坦综合征,琥乙红霉素片,相关药品
艾滋病人的急性阑尾炎,肿节风胶囊,相关药品
艾滋病人的急性阑尾炎,阑尾消炎片,相关药品
艾滋病人的急性阑尾炎,阑尾消炎丸,相关药品
艾滋病人的急性阑尾炎,妇炎舒片,相关药品
艾滋病人的急性阑尾炎,清热消炎宁片,相关药品
艾滋病人的急性阑尾炎,肿节风片,相关药品
艾滋病人的急性阑尾炎,妇炎康丸,相关药品
艾滋病人的急性阑尾炎,阑尾灵颗粒,相关药品
艾滋病人的急性阑尾炎,注射用亚胺培南西司他丁钠,相关药品
艾滋病人的急性阑尾炎,注射用哌拉西林钠他唑巴坦钠,相关药品
化脓性乳腺炎,左氧氟沙星片,相关药品
化脓性乳腺炎,吉祥安坤丸,相关药品
化脓性乳腺炎,连蒲双清片,相关药品
化脓性乳腺炎,乳块消胶囊,相关药品
化脓性乳腺炎,乳癖消胶囊,相关药品
化脓性乳腺炎,盐酸米诺环素胶囊,相关药品
化脓性乳腺炎,聚甲酚磺醛溶液,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,氧氟沙星片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸克林霉素棕榈酸酯分散片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,替硝唑胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸米诺环素胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,替硝唑片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸左氧氟沙星分散片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,注射用头孢曲松钠,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸克林霉素棕榈酸酯干混悬剂,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,骨炎灵片,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,八味秦皮丸,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸克林霉素胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,阿莫西林双氯西林钠胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,丹参酮胶囊,相关药品
滑膜炎、痤疮、脓疱病、骨肥厚、骨髓炎综合,盐酸环丙沙星片,相关药品
泛细支气管炎,川贝枇杷糖浆,相关药品
泛细支气管炎,头孢氨苄胶囊,相关药品
泛细支气管炎,盐酸左氧氟沙星胶囊,相关药品
泛细支气管炎,阿莫西林颗粒,相关药品
泛细支气管炎,氨苄西林胶囊,相关药品
泛细支气管炎,利巴韦林分散片,相关药品
泛细支气管炎,消炎片,相关药品
泛细支气管炎,蛇胆川贝液,相关药品
泛细支气管炎,头孢克洛颗粒,相关药品
泛细支气管炎,头孢拉定分散片,相关药品
泛细支气管炎,头孢拉定胶囊,相关药品
泛细支气管炎,乳酸左氧氟沙星片,相关药品
埃布斯坦综合征,地高辛片,相关药品
滴虫性包皮龟头炎,盐酸左氧氟沙星胶囊,相关药品
滴虫性包皮龟头炎,马来酸氯苯那敏片,相关药品
滴虫性包皮龟头炎,复方磺胺嘧啶锌凝胶,相关药品
Ⅰ型免疫母细胞性淋巴腺病,胸腺肽肠溶片,相关药品
Ⅰ型免疫母细胞性淋巴腺病,静注人免疫球蛋白,相关药品
Ⅰ型免疫母细胞性淋巴腺病,阿昔洛韦胶囊,相关药品
Ⅰ型免疫母细胞性淋巴腺病,乌苯美司片,相关药品
Ⅰ型免疫母细胞性淋巴腺病,伏立康唑片,相关药品
Ⅰ型免疫母细胞性淋巴腺病,脾氨肽口服冻干粉,相关药品
Ⅰ型免疫母细胞性淋巴腺病,注射用胸腺五肽,相关药品
I型糖尿病,格列吡嗪缓释片,相关药品
I型糖尿病,格列吡嗪片,相关药品
I型糖尿病,格列吡嗪控释片,相关药品
I型糖尿病,活力源片,相关药品
泛细支气管炎,蛤蚧定喘丸,相关药品
泛细支气管炎,炎立消胶囊,相关药品
泛细支气管炎,羧甲司坦片,相关药品
泛细支气管炎,头孢克肟颗粒,相关药品
泛细支气管炎,乙酰螺旋霉素片,相关药品
泛细支气管炎,注射用头孢唑林钠,相关药品
泛细支气管炎,头孢克肟分散片,相关药品
泛细支气管炎,麦迪霉素片,相关药品
泛细支气管炎,匹多莫德颗粒剂,相关药品
Ⅰ型免疫母细胞性淋巴腺病,多糖蛋白片,相关药品
Ⅰ型免疫母细胞性淋巴腺病,左氧氟沙星氯化钠注射液,相关药品
Ⅰ型免疫母细胞性淋巴腺病,转移因子注射液,相关药品
风热感冒,复方感冒灵颗粒,相关药品
风热感冒,维,相关药品
风热感冒,阿司匹林肠溶胶囊,相关药品
风热感冒,阿司匹林片,相关药品
风热感冒,牛磺酸颗粒,相关药品
风热感冒,阿司匹林肠溶片,相关药品
肺纤维化,吡非尼酮胶囊,相关药品
肺纤维化,注射用甲磺酸帕珠沙星,相关药品
肺纤维化,甲磺酸帕珠沙星注射液,相关药品
肺纤维化,甲磺酸帕珠沙星氯化钠注射液,相关药品
I型糖尿病,格列吡嗪胶囊,相关药品
风热头痛,苯甲酸利扎曲普坦片,相关药品
风热头痛,阿司匹林肠溶胶囊,相关药品
风热头痛,通天口服液,相关药品
风热头痛,阿司匹林片,相关药品
风热头痛,双氯芬酸钠肠溶片,相关药品
风热头痛,阿司匹林肠溶片,相关药品
复发性阿弗他溃疡,牛黄解毒丸,相关药品
复发性阿弗他溃疡,甘草锌胶囊,相关药品
复发性阿弗他溃疡,牛黄解毒片,相关药品
复发性阿弗他溃疡,甘草锌颗粒,相关药品
复发性阿弗他溃疡,蜂胶片,相关药品
复发性阿弗他溃疡,穿心莲片,相关药品
复发性阿弗他溃疡,金菊五花茶颗粒,相关药品
复发性阿弗他溃疡,胸腺肽肠溶片,相关药品
复发性阿弗他溃疡,清肺抑火片,相关药品
复发性阿弗他溃疡,复方氯己定含漱液,相关药品
复发性阿弗他溃疡,上清丸,相关药品
复发性阿弗他溃疡,清火栀麦片,相关药品
复发性阿弗他溃疡,清胃黄连丸,相关药品
复发性阿弗他溃疡,栀子金花丸,相关药品
非特异性外阴炎,甲硝唑乳膏,相关药品
非特异性外阴炎,妇洁舒洗液,相关药品
非特异性外阴炎,复方黄藤洗液,相关药品
非特异性外阴炎,妇炎清洗剂,相关药品
非特异性外阴炎,苦柏止痒洗液,相关药品
非特异性外阴炎,聚甲酚磺醛栓,相关药品
非特异性外阴炎,盐酸米诺环素胶囊,相关药品
非特异性外阴炎,阴痒康洗剂,相关药品
非特异性外阴炎,阿娜尔妇洁液,相关药品
非特异性外阴炎,三维制霉素栓,相关药品
非特异性外阴炎,妇肤康喷雾剂,相关药品
肥气,鳖甲胶,相关药品
肥气,磷酸氯喹片,相关药品
肥气,乌梅丸,相关药品
肥气,磺胺嘧啶片,相关药品
肥气,复方奎宁注射液,相关药品
肥气,柴胡注射液,相关药品
肥气,蒿甲醚注射液,相关药品
肥气,青蒿琥酯片,相关药品
肥气,双氢青蒿素哌喹片,相关药品
肺咳,川贝枇杷糖浆,相关药品
肺咳,头孢氨苄胶囊,相关药品
肺咳,盐酸左氧氟沙星胶囊,相关药品
肺咳,阿莫西林颗粒,相关药品
肺咳,氨苄西林胶囊,相关药品
肺咳,消炎片,相关药品
肺咳,蛇胆川贝液,相关药品
肺咳,热毒宁注射液,相关药品
肺咳,头孢呋辛酯干混悬剂,相关药品
肺咳,头孢丙烯分散片,相关药品
肺咳,头孢克洛缓释胶囊,相关药品
肺咳,头孢拉定胶囊,相关药品
风热头痛,萘普生片,相关药品
风热头痛,盐酸可乐定片,相关药品
复发性阿弗他溃疡,知柏地黄丸,相关药品
复发性阿弗他溃疡,度米芬含片,相关药品
复发性阿弗他溃疡,溶菌酶含片,相关药品
复发性阿弗他溃疡,小儿化毒散,相关药品
复发性阿弗他溃疡,黄连上清片,相关药品
非特异性外阴炎,复方黄松湿巾,相关药品
非特异性外阴炎,复方黄松洗液,相关药品
非特异性外阴炎,妇炎平胶囊,相关药品
非特异性外阴炎,肤芩洗剂,相关药品
肥气,青蒿琥酯阿莫地喹片,相关药品
肥气,盐酸多西环素胶丸,相关药品
肥气,复方磷酸萘酚喹片,相关药品
肥气,磺胺甲噁唑片,相关药品
肥气,磷酸伯氨喹片,相关药品
肺咳,洛索洛芬钠胶囊,相关药品
肺咳,乳酸左氧氟沙星片,相关药品
肺咳,炎立消胶囊,相关药品
肺咳,急支糖浆,相关药品
肺咳,乙酰螺旋霉素片,相关药品
肺咳,头孢克肟分散片,相关药品
肺咳,匹多莫德口服溶液,相关药品
肺咳,盐酸头孢他美酯干混悬剂,相关药品
肺不发育或发育不全,维生素,相关药品
非典型麻疹综合征,小儿化毒散,相关药品
非典型麻疹综合征,小儿化毒胶囊,相关药品
非典型麻疹综合征,五粒回春丸,相关药品
非典型麻疹综合征,桔梗八味颗粒,相关药品
非典型麻疹综合征,板蓝根滴丸,相关药品
非典型麻疹综合征,儿童回春丸,相关药品
非典型麻疹综合征,板蓝根注射液,相关药品
非典型麻疹综合征,人免疫球蛋白,相关药品
腹腔室隔综合征,曲匹布通片,相关药品
腹腔室隔综合征,盐酸多西环素胶丸,相关药品
腹腔室隔综合征,注射用头孢哌酮钠,相关药品
伏暑,复方感冒灵颗粒,相关药品
伏暑,维,相关药品
伏暑,阿司匹林肠溶胶囊,相关药品
伏暑,阿司匹林片,相关药品
伏暑,牛磺酸颗粒,相关药品
伏暑,阿司匹林肠溶片,相关药品
肺泡癌,威麦宁胶囊,相关药品
肺泡癌,转移因子口服溶液,相关药品
肺泡癌,紫龙金片,相关药品
肺泡癌,复方万年青胶囊,相关药品
肺泡癌,鲑降钙素注射液,相关药品
肺泡癌,汉防己甲素片,相关药品
肺泡癌,消癌平片,相关药品
肺泡癌,阿魏化痞膏,相关药品
肺泡癌,清肺散结丸,相关药品
肺泡癌,消癌平胶囊,相关药品
肺泡癌,西黄丸,相关药品
腹内疝,小儿暖脐膏,相关药品
腹内疝,十香暖脐膏,相关药品
腹内疝,茴香橘核丸,相关药品
腹内疝,参桂理中丸,相关药品
腹内疝,十香丸,相关药品
非典型麻疹综合征,板蓝根软胶囊,相关药品
非典型麻疹综合征,板蓝大青颗粒,相关药品
腹腔室隔综合征,硫酸奈替米星注射液,相关药品
腹腔室隔综合征,硫酸西索米星注射液,相关药品
腹腔室隔综合征,注射用硫酸核糖霉素,相关药品
肺泡癌,肿节风胶囊,相关药品
肺泡癌,复方斑蝥胶囊,相关药品
肺泡癌,鸦胆子油软胶囊,相关药品
肺泡癌,鹤蟾片,相关药品
腹内疝,济生橘核丸,相关药品
肺癌骨转移,威麦宁胶囊,相关药品
肺癌骨转移,转移因子口服溶液,相关药品
肺癌骨转移,紫龙金片,相关药品
肺癌骨转移,复方万年青胶囊,相关药品
肺癌骨转移,鲑降钙素注射液,相关药品
肺癌骨转移,汉防己甲素片,相关药品
肺癌骨转移,消癌平片,相关药品
肺癌骨转移,阿魏化痞膏,相关药品
肺癌骨转移,清肺散结丸,相关药品
肺癌骨转移,消癌平胶囊,相关药品
肺癌骨转移,西黄丸,相关药品
分水岭区脑梗死,通脉颗粒,相关药品
分水岭区脑梗死,银杏叶片,相关药品
分水岭区脑梗死,脑心通胶囊,相关药品
分水岭区脑梗死,蚓激酶肠溶胶囊,相关药品
分水岭区脑梗死,曲克芦丁片,相关药品
肺癌骨转移,肿节风胶囊,相关药品
肺癌骨转移,复方斑蝥胶囊,相关药品
肺癌骨转移,鸦胆子油软胶囊,相关药品
肺癌骨转移,鹤蟾片,相关药品
分水岭区脑梗死,心脑清软胶囊,相关药品
分水岭区脑梗死,尼麦角林片,相关药品
分裂情感性障碍,谷维素片,相关药品
分裂情感性障碍,复方吡拉西坦脑蛋白水解物片,相关药品
分裂情感性障碍,盐酸氯丙嗪片,相关药品
分裂情感性障碍,富马酸喹硫平片,相关药品
分裂情感性障碍,氟哌啶醇片,相关药品
