entity1,entity2,relation
老年人原发性高血压引起的良性小动脉肾硬化,动态显像,相关检查
老年人原发性高血压引起的良性小动脉肾硬化,肾素活性,相关检查
老年人炎症性肠病,核磁共振成像(MRI),相关检查
老年人炎症性肠病,腹部平片,相关检查
老年人原发性高血压引起的良性小动脉肾硬化,舒张压,相关检查
老年人血栓性疾病,蛋白C,相关检查
老年人炎症性肠病,小肠造影,相关检查
类鼻疽杆菌肺炎,血液检查,相关检查
铝骨病,胺试验,相关检查
卵巢破裂,妇科超声检查,相关检查
卵巢纤维瘤病,肿瘤标志物检测,相关检查
类鼻疽杆菌肺炎,鼻疽菌素皮内试验,相关检查
朗格汉斯组织细胞增多症,周围血白细胞计数及分类检验,相关检查
卵巢肿瘤破裂,肿瘤标志物检测,相关检查
卵巢纤维瘤病,阴道分泌物检查,相关检查
类风湿性关节炎的肾损害,类风湿因子,相关检查
痢疾后综合症,粪便脓液,相关检查
铝骨病,血清铝,相关检查
类风湿性关节炎的肾损害,血清补体C3,相关检查
卵巢破裂,双合诊,相关检查
链球菌感染后的急性肾小球肾炎,细胞免疫检查,相关检查
类风湿性关节炎的肾损害,血清白细胞介素8,相关检查
类风湿性关节炎的肾损害,T淋巴细胞亚群,相关检查
类风湿性关节炎的肾损害,白细胞介素1（IL-1）,相关检查
雷诺病,抗着丝点抗体,相关检查
雷诺病,抗RNP抗体,相关检查
链球菌感染后的急性肾小球肾炎,抗链球菌壁多糖抗体,相关检查
流行性感冒,肺和胸膜听诊,相关检查
类风湿性关节炎的肾损害,四肢的骨和关节平片,相关检查
流行性感冒,副流感病毒抗体,相关检查
流行性感冒,脉搏,相关检查
流行性感冒,体温测量,相关检查
链球菌感染后的急性肾小球肾炎,肾病类尿常规,相关检查
颅狭症,颅脑CT检查,相关检查
颅狭症,颅脑MRI检查,相关检查
老年肺炎,纤维支气管镜检查,相关检查
老年肺炎,痰液病原体检查,相关检查
轮状病毒性肠炎,固相酶免疫测定技术,相关检查
轮状病毒性肠炎,补体结合试验,相关检查
颅狭症,颅骨透照试验,相关检查
狼疮性肾炎,肾脏叩诊,相关检查
狼疮性肾炎,肾功能检查,相关检查
狼疮性肾炎,肾脏触诊,相关检查
狼疮性肾炎,肾脏超声检查,相关检查
老年眩晕,颈椎CT检查,相关检查
老年肺炎,免疫电泳,相关检查
新生儿臂丛神经麻痹,神经系统检查,相关检查
老年眩晕,心电图,相关检查
老年眩晕,颅脑CT检查,相关检查
老年眩晕,电测听,相关检查
老年眩晕,颈动脉彩超,相关检查
狼疮性肾炎,尿液N-乙酰-β-D-氨基葡萄糖苷酶（UNAG）,相关检查
新生儿臂丛神经麻痹,肌电图,相关检查
老年眩晕,颅脑超声检查,相关检查
新生儿臂丛神经麻痹,神经系统核医学检查,相关检查
狼疮性肾炎,尿常规,相关检查
狼疮性肾炎,尿碱性磷酸酶（UALP）,相关检查
轮状病毒性肠炎,粪细菌培养,相关检查
狼疮性肾炎,狼疮带试验,相关检查
狼疮性肾炎,狼疮细胞,相关检查
轮状病毒性肠炎,便常规,相关检查
狼疮性肾炎,肾脏切片,相关检查
良性阵发性腹膜炎综合征,腹部平片,相关检查
老年肺炎,胸部平片,相关检查
轮状病毒性肠炎,粪便气味,相关检查
老年肺炎,胸部CT检查,相关检查
雷诺病,类风湿因子,相关检查
老年肺炎,血常规,相关检查
雷诺病,皮肤颜色,相关检查
良性阵发性腹膜炎综合征,腹部CT,相关检查
雷诺病,血清补体C6含量,相关检查
老年眩晕,位听神经检查,相关检查
链球菌感染后的急性肾小球肾炎,肾功能检查,相关检查
雷诺病,皮损,相关检查
类风湿性关节炎的肾损害,尿常规,相关检查
雷诺病,库姆斯氏试验,相关检查
硫化氢中毒,尿常规,相关检查
类风湿性关节炎的肾损害,肾功能检查,相关检查
硫化氢中毒,一氧化碳,相关检查
痢疾后综合症,粪便显微镜检查,相关检查
痢疾后综合症,腹部平片,相关检查
痢疾后综合症,便常规,相关检查
硫化氢中毒,红细胞碱粒凝集试验,相关检查
类鼻疽杆菌肺炎,血清学反应,相关检查
类风湿性关节炎的肾损害,肾病类尿常规,相关检查
类鼻疽杆菌肺炎,血液及骨髓细菌培养,相关检查
硫化氢中毒,血液硫化血红蛋白,相关检查
硫化氢中毒,血氧含量,相关检查
类鼻疽杆菌肺炎,补体结合试验,相关检查
朗格汉斯组织细胞增多症,肾功能检查,相关检查
朗格汉斯组织细胞增多症,肺功能检查,相关检查
朗格汉斯组织细胞增多症,骨髓象分析,相关检查
