entity1,relation,entity2
慢性腹泻,并发症,营养不良
慢性腹泻,并发症,腹膜炎
流感病毒肺炎,并发症,肺炎
硫化血红蛋白血症,并发症,冠心病
流感病毒肺炎,并发症,脑膜炎
Leber遗传性视神经病变,并发症,球后视神经炎
旅途精神病,并发症,精神病
蓝鼓膜与胆固醇肉芽肿,并发症,耳结核
狼疮样综合征,并发症,血栓性静脉炎
老年急性白血病,并发症,播散性血管内凝血
蓝鼓膜与胆固醇肉芽肿,并发症,耳源性脑膜炎
硫化血红蛋白血症,并发症,动脉粥样硬化
轮状病毒性肠炎,并发症,过敏性紫癜
轮状病毒性肠炎,并发症,溶血尿毒症综合征
良性阵发性腹膜炎综合征,并发症,多发性神经炎
轮状病毒性肠炎,并发症,弥漫性血管内凝血
氯喹中毒,并发症,昏迷
老年肺炎,并发症,糖尿病
老年肺炎,并发症,呼吸衰竭
氯喹中毒,并发症,耳聋
老年肺炎,并发症,应激性溃疡
蓝鼓膜与胆固醇肉芽肿,并发症,化脓性耳廓软骨膜炎
绿脓杆菌性角膜溃疡,并发症,青光眼
绿脓杆菌性角膜溃疡,并发症,角膜溃疡
老年肺炎,并发症,高血压
淋病,并发症,腹痛
蓝鼓膜与胆固醇肉芽肿,并发症,高血压
轮状病毒性肠炎,并发症,肠套叠
盲肠肉芽肿,并发症,变形杆菌食物中毒
盲肠肉芽肿,并发症,蓖麻子中毒
盲肠肉芽肿,并发症,肠病性肢皮炎综合征
盲肠肉芽肿,并发症,肠道菌群失调症
粘连性中耳炎,并发症,耳后骨膜下脓肿
盲肠肉芽肿,并发症,丙型病毒性肝炎
盲肠肉芽肿,并发症,百草枯中毒
盲肠肉芽肿,并发症,苯海拉明中毒
盲肠肉芽肿,并发症,钡中毒
粘连性中耳炎,并发症,迷路炎
盲肠肉芽肿,并发症,贲门失弛缓症
烧伤,并发症,呼吸衰竭
良性前列腺增生,并发症,膀胱憩室
梭状芽胞杆菌伤口感染,并发症,破伤风
烧伤感染,并发症,高钠血症
烧伤休克,并发症,呼吸衰竭
中毒性眩晕,并发症,耳聋
中毒性眩晕,并发症,耳鸣
盲肠肉芽肿,并发症,肠扭转综合征
中耳气压伤,并发症,鼓膜穿孔
盲肠肉芽肿,并发症,Barrett食管
盲肠肉芽肿,并发症,吡唑酮类中毒
盲肠肉芽肿,并发症,便秘
盲肠肉芽肿,并发症,暴发性肝炎样综合征
盲肠肉芽肿,并发症,鞭虫病
盲肠肉芽肿,并发症,半乳糖血症
盲肠肉芽肿,并发症,Brenneman综合征
盲肠肉芽肿,并发症,布卡综合症
盲肠肉芽肿,并发症,柏-查综合征
盲肠肉芽肿,并发症,暴发性肝功能衰竭
盲肠肉芽肿,并发症,氨基甲酸酯类农药中毒
