entity1,entity2,relation
小脑幕脑膜瘤,颅内压增高,相关症状
小脑幕脑膜瘤,视野缺损,相关症状
小颌畸形综合征,窒息,相关症状
小脑幕脑膜瘤,指鼻不准,相关症状
小脑幕脑膜瘤,水肿,相关症状
小脑幕脑膜瘤,眼球震颤,相关症状
小脑幕脑膜瘤,偏盲,相关症状
小颌畸形综合征,恶病质,相关症状
小颌畸形综合征,发绀,相关症状
小颌畸形综合征,呼吸困难,相关症状
小颌畸形综合征,呛咳,相关症状
中心性浆液性脉络膜视网膜病变,视力障碍,相关症状
小颌畸形综合征,小颌,相关症状
小颌畸形综合征,婴儿喂养困难,相关症状
中心性浆液性脉络膜视网膜病变,视网膜脱离,相关症状
中心性浆液性脉络膜视网膜病变,视物变形,相关症状
中毒性弱视,废用性弱视,相关症状
中毒性弱视,盲点,相关症状
中毒性弱视,对红绿颜色分辨不清,相关症状
中毒性弱视,大量饮酒后突然视力减退,相关症状
先天性小耳畸形,耳聋,相关症状
中毒性弱视,畏光,相关症状
中毒性弱视,视力障碍,相关症状
先天性小耳畸形,杯状耳,相关症状
小儿麻疹,咽部充血,相关症状
小脑幕脑膜瘤,双手轮替动作笨拙,相关症状
小儿麻疹,猩红热样皮疹,相关症状
小儿麻疹,流泪,相关症状
小儿麻疹,淋巴结肿大,相关症状
小儿麻疹,流清涕,相关症状
小儿麻疹,发烧,相关症状
小儿麻疹,食欲减退,相关症状
腺样体炎,高热,相关症状
小儿麻疹,皮肤斑丘疹,相关症状
腺样体炎,吞咽痛,相关症状
腺样体炎,耳痛,相关症状
腺样体炎,耳闷,相关症状
腺样体炎,鼻塞,相关症状
腺样体炎,听力减退,相关症状
先天性耳前瘘管,耳垂粘连,相关症状
先天性耳前瘘管,涎瘘,相关症状
心内膜垫缺损,心力衰竭,相关症状
先天性耳前瘘管,黏液囊肿,相关症状
心内膜垫缺损,周身出汗,相关症状
腺样体炎,腺样体面容,相关症状
心内膜垫缺损,婴儿喂养困难,相关症状
心内膜垫缺损,反复上呼吸道感染,相关症状
心内膜垫缺损,呼吸功能衰竭,相关症状
心内膜垫缺损,室间隔缺损,相关症状
血小板促凝活性异常,血肿形成,相关症状
血小板促凝活性异常,产后出血,相关症状
血小板促凝活性异常,拔牙后出血不止,相关症状
血小板促凝活性异常,月经量多,相关症状
蕈样真菌病和Sezary综合征,脱发,相关症状
蕈样真菌病和Sezary综合征,甲营养不良,相关症状
蕈样真菌病和Sezary综合征,淋巴结肿大,相关症状
蕈样真菌病和Sezary综合征,泛发性红色斑块,相关症状
蕈样真菌病和Sezary综合征,结痂,相关症状
心内膜垫缺损,房间隔缺损,相关症状
蕈样真菌病和Sezary综合征,剧痒,相关症状
血栓性静脉炎,疼痛性股白肿,相关症状
血栓性静脉炎,股三角区压痛,相关症状
先天性小耳畸形,外耳道狭窄,相关症状
血栓性静脉炎,烧伤创面焦痂提前潮解、脱落或出现虫咬样变化,相关症状
蕈样真菌病和Sezary综合征,颜面受累时褶皱加深形成“狮面”,相关症状
蕈样真菌病和Sezary综合征,瘙痒,相关症状
血栓性静脉炎,水肿,相关症状
血栓性静脉炎,疼痛性股青肿,相关症状
血栓性静脉炎,下肢弥漫性水肿,相关症状
血栓性静脉炎,皮下静脉呈网状怒张,相关症状
胸、腰椎爆裂骨折,剧烈疼痛,相关症状
血栓性静脉炎,直腿伸踝试验阳性,相关症状
血栓性静脉炎,局部静脉硬索状,相关症状
血栓性静脉炎,皮肤温度升高,相关症状
胸、腰椎爆裂骨折,胸段或腰段脊髓伤,相关症状
胸、腰椎爆裂骨折,胸腰椎压缩性骨折,相关症状
血管球瘤,血管壁及周围有Ig及补体沉着,相关症状
鲜红斑痣,出血倾向,相关症状
血管球瘤,皮下结节,相关症状
血管球瘤,放射性疼痛,相关症状
先天性小耳畸形,双耳廓发育不全,相关症状
