entity1,entity2,relation
宫腔息肉,杏香兔耳风胶囊,相关药品
宫腔息肉,乳酸左氧氟沙星片,相关药品
宫腔息肉,苦参栓,相关药品
宫腔息肉,希舒美,相关药品
宫腔息肉,维宏,相关药品
宫腔息肉,复方杏香兔耳风颗粒,相关药品
宫腔息肉,抗宫炎软胶囊,相关药品
骨蒸潮热,肾康宁片,相关药品
骨蒸潮热,补肾强身片,相关药品
骨蒸潮热,十全大补膏,相关药品
骨蒸潮热,玉屏风口服液,相关药品
骨蒸潮热,十全大补酒,相关药品
骨蒸潮热,补肾强身胶囊,相关药品
骨软化症,英康利,相关药品
骨软化症,阿胶牡蛎口服液,相关药品
骨软化症,三维钙片,相关药品
骨软化症,强骨生血口服液,相关药品
骨软化症,罗盖全,相关药品
骨软化症,维磷葡钙片,相关药品
骨软化症,维生素,相关药品
感染性肉芽肿,醋酸泼尼松片,相关药品
骨髓水肿,盐酸左氧氟沙星胶囊,相关药品
骨髓水肿,乳酸左氧氟沙星片,相关药品
骨髓水肿,博美欣,相关药品
骨髓水肿,氧氟沙星片,相关药品
骨髓水肿,盐酸克林霉素棕榈酸酯分散片,相关药品
骨髓水肿,泰利必妥,相关药品
呛奶,头孢氨苄胶囊,相关药品
气血不通,健儿清解液,相关药品
气血不通,小儿喜食糖浆,相关药品
气血不通,维生素,相关药品
气血不通,保儿安颗粒,相关药品
气血不通,大山楂颗粒,相关药品
气血不通,肥儿糖浆,相关药品
气血不通,乳酸菌素片,相关药品
气血不通,驱虫消食片,相关药品
肝肾阳虚,苯磺酸氨氯地平片,相关药品
肝肾阳虚,兰沙,相关药品
肝肾阳虚,七十味珍珠丸,相关药品
肝肾阳虚,氯沙坦钾氢氯噻嗪片,相关药品
肝肾阳虚,苯磺酸氨氯地平胶囊,相关药品
肝肾阳虚,浦美特,相关药品
肝肾阳虚,呋塞米片,相关药品
肝肾阳虚,盐酸贝那普利片,相关药品
龟头异味,乳酸左氧氟沙星片,相关药品
龟头异味,希舒美,相关药品
龟头异味,维宏,相关药品
龟头异味,阿奇霉素分散片,相关药品
龟头异味,阿奇霉素胶囊,相关药品
龟头异味,诺氟沙星胶囊,相关药品
宫颈充血,瑞百适&美福康,相关药品
睾丸一大一小,盐酸左氧氟沙星胶囊,相关药品
睾丸一大一小,乳酸左氧氟沙星片,相关药品
睾丸一大一小,可乐必妥,相关药品
睾丸一大一小,盐酸左氧氟沙星片,相关药品
睾丸一大一小,康尼,相关药品
管型尿,苯磺酸氨氯地平片,相关药品
管型尿,兰沙,相关药品
管型尿,七十味珍珠丸,相关药品
管型尿,氯沙坦钾氢氯噻嗪片,相关药品
管型尿,苯磺酸氨氯地平胶囊,相关药品
管型尿,浦美特,相关药品
管型尿,呋塞米片,相关药品
管型尿,盐酸贝那普利片,相关药品
管型蛋白尿,呋塞米片,相关药品
管型蛋白尿,结石通茶,相关药品
管型蛋白尿,萆薢分清丸,相关药品
管型蛋白尿,肾复康胶囊,相关药品
管型蛋白尿,八正合剂,相关药品
广泛性与不定位性腹痛,胆汁槟榔维B1胶囊,相关药品
广泛性与不定位性腹痛,胆汁槟榔维,相关药品
广泛性与不定位性腹痛,复方雪胆呋喃唑酮胶囊,相关药品
鼓膜充血,龙胆泻肝丸,相关药品
鼓膜充血,龙胆泻肝片,相关药品
鼓膜充血,耳聋通窍丸,相关药品
鼓膜充血,磁朱丸,相关药品
关节液渗出,强力康颗粒,相关药品
关节液渗出,阿米福汀,相关药品
关节液渗出,注射用氨磷汀,相关药品
关节液渗出,复方阿胶补血膏,相关药品
关节液渗出,顺铂注射液,相关药品
管性呼吸音,乳酸左氧氟沙星片,相关药品
管性呼吸音,希舒美,相关药品
管性呼吸音,维宏,相关药品
管性呼吸音,阿奇霉素分散片,相关药品
管性呼吸音,阿奇霉素胶囊,相关药品
