entity1,entity2,relation
Asperger综合征,神经系统检查,相关检查
阿司匹林过敏,尿常规,相关检查
阿司匹林过敏,血常规,相关检查
陈旧性骨折,骨关节及软组织CT检查,相关检查
肺功能失常,肺功能检查,相关检查
肺功能失常,肺显像,相关检查
肺部有钙化点,肺功能检查,相关检查
肺部有钙化点,肺显像,相关检查
肺部疼痛,肺功能检查,相关检查
串珠肋,胸部平片,相关检查
串珠肋,胸部透视,相关检查
串珠肋,胸部CT检查,相关检查
阿罗瞳孔,眼底检查,相关检查
阿罗瞳孔,血常规,相关检查
肺部小结节,肺功能检查,相关检查
肺部小结节,肺显像,相关检查
肺泡破裂,肺容量测定,相关检查
肺泡破裂,肺灌注显像,相关检查
肺泡破裂,肺通气显像,相关检查
结膜出血,结膜的检查,相关检查
回经,内分泌功能试验,相关检查
黑痰,痰培养,相关检查
咯血伴呛咳,结核杆菌基因检测（PCR）,相关检查
咯血伴呛咳,抗凝血活性试验,相关检查
咯血伴呛咳,尿常规,相关检查
咯血伴呛咳,胸部CT检查,相关检查
咯血伴呛咳,心电图,相关检查
咯血伴有皮肤粘膜出血,胸部CT检查,相关检查
咯血伴有皮肤粘膜出血,心电图,相关检查
咯血伴有皮肤粘膜出血,尿常规,相关检查
咯血伴胸痛,心电图,相关检查
咯血伴胸痛,尿常规,相关检查
咯血伴胸痛,胸部CT检查,相关检查
咯血伴黄疸,结核杆菌基因检测（PCR）,相关检查
咯血伴黄疸,胸部平片,相关检查
咯血伴黄疸,肺显像,相关检查
咯血伴黄疸,肺部检查,相关检查
咯血伴黄疸,肺和胸膜触诊,相关检查
眶周青紫,眼及眶区CT检查,相关检查
眶周青紫,眼底镜检查法,相关检查
口咽部水疱状损害,口腔内窥镜,相关检查
口香,血清胰高血糖素（PG）,相关检查
口咸,人体内的微量元素检测,相关检查
口咸,必需微量元素检测,相关检查
口腔粘膜弥漫充血,口腔内窥镜,相关检查
口腔粘膜弥漫充血,细菌感染免疫检测,相关检查
口腔血泡,口腔内窥镜,相关检查
口腔念珠菌感染,细菌感染免疫检测,相关检查
口腔念珠菌感染,口腔内窥镜,相关检查
口腔念珠菌感染,唾液富组蛋白,相关检查
口腔念珠菌感染,唾液中的细胞,相关检查
口腔念珠菌感染,唾液溶菌酶,相关检查
口腔黏膜纤维化,细菌形态学检查方法,相关检查
口腔黏膜纤维化,细菌感染免疫检测,相关检查
口腔痛,耳、鼻、咽拭子细菌培养,相关检查
口腔痛,牙髓电活力测定,相关检查
口臭,口腔X光片检查,相关检查
口臭,McNealy-McCallister试验,相关检查
口臭,口腔内窥镜,相关检查
口唇青紫,多普勒超声心动图,相关检查
口唇青紫,二维超声心动图,相关检查
口唇渗液,口腔内窥镜,相关检查
口唇渗液,口腔X光片检查,相关检查
口唇疱疹,单纯疱疹病毒抗体,相关检查
口唇疱疹,单纯疱疹病毒（HSV）,相关检查
