entity1,relation,entity2
Asperger综合征,相关症状,精神变态
阿罗瞳孔,相关症状,瞳孔变白
阿司匹林过敏,相关症状,对铋盐过敏
阿司匹林过敏,相关症状,面部皮肤过敏
癌细胞逆行播散,相关症状,癌性发热
肺部小结节,相关症状,肺功能失常
耳鸣,相关症状,搏动性耳鸣
耳鸣,相关症状,传导性耳鸣
耳鸣,相关症状,肌阵挛
耳鸣,相关症状,神经性耳鸣
耳鸣,相关症状,血管畸形
耳鸣,相关症状,硬化
粪类圆线虫病,相关症状,便秘
粪类圆线虫病,相关症状,肠穿孔
粪类圆线虫病,相关症状,恶心与呕吐
粪类圆线虫病,相关症状,发烧
粪类圆线虫病,相关症状,烦躁不安
粪类圆线虫病,相关症状,腹泻
粪类圆线虫病,相关症状,咳嗽
粪类圆线虫病,相关症状,皮肤瘙痒
风寒咳嗽,相关症状,喉痒咳嗽
大腿酸痛,相关症状,大腿刺痛
大腿酸痛,相关症状,大腿疼痛
耳闷,相关症状,耳道堵塞
耳闷,相关症状,耳堵
耳闷,相关症状,耳聋
耳闷,相关症状,耳鸣
耳闷,相关症状,耳内闭塞感
耳闷,相关症状,听力减退
耳内闭塞感,相关症状,耳内发胀
耳内闭塞感,相关症状,耳痛
眶周水肿,相关症状,水肿
咯血伴呛咳,相关症状,肺淤血
咯血伴呛咳,相关症状,粉红色泡沫样痰
咯血伴呛咳,相关症状,咯血
咯血伴呛咳,相关症状,呛咳
咯血伴呛咳,相关症状,胸痛
咯血伴呛咳,相关症状,肺栓塞
咯血伴呛咳,相关症状,黄疸
咯血伴呛咳,相关症状,血热
咯血伴呛咳,相关症状,水肿
咯血伴呛咳,相关症状,脓肿
咯血伴呛咳,相关症状,左心衰竭
耳内流脓,相关症状,耳流脓
耳内流脓,相关症状,耳痛
耳内流脓,相关症状,发炎
耳内流脓,相关症状,骨质破坏
耳内流脓,相关症状,继发感染
耳内流脓,相关症状,紧张
耳内流脓,相关症状,鳞屑
耳内流脓,相关症状,水肿
耳内流脓,相关症状,头痛
耳内流脓,相关症状,眩晕
窥淫癖,相关症状,紧张
窥淫癖,相关症状,紧张性手抖
眶周瘀斑,相关症状,充血
眶周瘀斑,相关症状,熊猫眼
眶周瘀斑,相关症状,发炎
眶周瘀斑,相关症状,眼睑浮肿
块状痰,相关症状,咳嗽
块状痰,相关症状,咳痰
肾上腺皮质功能亢进,相关症状,肾上腺增生
快感缺乏,相关症状,紧张
口香,相关症状,多饮
口香,相关症状,多尿
口咽部水疱状损害,相关症状,头痛
口咽部水疱状损害,相关症状,疲劳
口咸,相关症状,头昏
口咸,相关症状,低热
口咸,相关症状,无力
舌头起泡,相关症状,舌头溃疡
舌头起泡,相关症状,舌头出血
声带发炎,相关症状,声带肥厚
声带发炎,相关症状,声带老化
胎儿肾盂分离,相关症状,胎儿生长发育迟缓
湿气重,相关症状,肌肉酸痛
失声,相关症状,声音嘶哑
食指发麻,相关症状,食指感觉消失
食指发麻,相关症状,食指和中指僵硬痛麻
上颚疼,相关症状,口腔黏膜溃疡
失眠头痛,相关症状,紧张性失眠
失眠头痛,相关症状,顽固性失眠
肾痛,相关症状,肾区压痛
食管壁增厚,相关症状,食管梗阻
上焦火,相关症状,焦虑
上额窦囊肿,相关症状,囊肿
上额窦囊肿,相关症状,上颌窦囊肿
手脚发麻,相关症状,手臂发麻
手脚发麻,相关症状,腿脚发麻
耸肩喘息,相关症状,肺功能失常
耸肩喘息,相关症状,情绪性哮喘
湿疣,相关症状,剧痒的疣状结节
诉讼狂,相关症状,迫害妄想
髓样癌变,相关症状,恶心
髓样癌变,相关症状,乏力
速脉,相关症状,贫血貌
四肢苔藓样变,相关症状,丘疹
四肢苔藓样变,相关症状,皮肤瘙痒
四肢瘫痪,相关症状,神经元移行异常
四肢瘫痪,相关症状,四肢呈对称性下运动神经元性瘫痪
舌头溃疡,相关症状,咽部溃疡
四肢无力,相关症状,嗜睡
